Number,Date,Song,Artist,Platform,Release Date,,,,,
1,17/12/2021,Feed My Ego,Mickey Darling,Spotify,,,,,,
2,18/12/2021,Goodbye Michael,DJ Boring,YouTube,,,,,,
3,19/12/2021,Never Learn,Good Boy Daisy,Spotify,,,,,,
4,20/12/2021,Killing Me Softly With His Song,Fugees,Spotify,,,,,,
5,21/12/2021,I Was Young When I Left Home,Bob Dylan,Spotify,,,,,,
6,22/12/2021,Black Eyed Angel,Marc E. Bassy,SoundCloud,,,,,,
7,23/12/2021,Bird On A Chain,Florence Black,Spotify,,,,,,
8,24/12/2021,Everything Back But You,Avril Lavigne,Spofity,,,,,,
9,25/12/2021,Christmas Wrapping,The Waitresses,Spotify,,,,,,
10,26/12/2021,21,Logic1000,SoundCloud,,,,,,
11,27/12/2021,Back to Life (80s Remix),Hailee Steinfeld,Spotify,,,,,,
12,28/12/2021,As Much As I Can,Magnus Chapple,Spotify,,,,,,
13,29/12/2021,Midnight River,Pink Sweat$,SoundCloud,,,,,,
14,30/12/2021,A Horse With No Name,America,Spotify ,,,,,,
15,31/12/2021,The Shortest Straw,Metallica ,Spotify,,,,,,
16,01/01/2022,I Hope We Can Live On The Moon Someday,Librarian,YouTube,,,,,,
17,02/01/2022,Love Galore,SZA ft. Travis Scott,Spotify,,,,,,
18,03/01/2022,Lord It's a Feeling - Orchestral Version,London Grammar,Spotify,,,,,,
19,04/01/2022,Break for Lovers (Elinov Remix),Men I Trust,YouTube,,,,,,
20,05/01/2022,Ramen Waitress,High Sunn,Spotify,,,,,,
21,06/01/2022,Girls Who Play Guitar,Maximo Park,Spotify,,,,,,
22,07/01/2022,Because the Night,Patti Smith / The Midnight,Spotify,,,,,,
23,08/01/2022,"Gyspys, Tramps, and Thieves",Cher,Spotify,,,,,,
24,09/01/2022,Hard Times Live Lounge,Paramore,YouTube,,,,,,
25,10/01/2022,Agent Double O Soul,Edwin Starr,Spotify,,,,,,
26,11/01/2022,Since U Been Gone,A Day To Remember,Spotify,,,,,,
27,12/01/2022,Lavender Bones,Stand Atlantic ,Spotify,,,,,,
28,13/01/2022,Black Butterflies and déjà vu,The Maine,Spotify,,,,,,
29,14/01/2022,Poolfire,Radio Man,SoundCloud,,,,,,
